d_sample,gauss_sigma,stack,cell,n_steps,n_lstm_layers,n_lstm_units_1,n_lstm_units_2,activation_output_layer,n_epochs,optimizer,lr,metric,num_repeat,d_t,theory_model,loss_funcs,lambda_mse,lambda_soc,feature_indices,feature_range_cur_low,feature_range_cur_high,feature_range_charge_low,feature_range_charge_high,feature_range_volt_low,feature_range_volt_high,boundary_cur_low,boundary_cur_high,boundary_charge_low,boundary_charge_high,boundary_voltage_low,boundary_voltage_high,seed,experiment_name,method,input_features,model_save_path,results_path,n_features,use_case_1_rmse,use_case_1_mae,use_case_2_rmse,use_case_2_mae,use_case_3_rmse,use_case_3_mae,avg_rmse,avg_mae,results_folder
2,10,0,4,100,1,20,20,tanh,20,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,1.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,4,loss_params_config,loss,"['current', 'charge']",../../../models/experiments/loss_params_config/20240509204549/model,../../../models/experiments/loss_params_config/20240509204549/results,2,22.88984825645353,22.654155363718683,12.37140536124444,11.38643462027274,8.425215209876525,6.51834703326225,14.562156275858165,13.519645672417893,../models/experiments/loss_params_config/20240509204549
2,10,0,4,100,2,20,20,tanh,10,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.1,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,4,loss_params_config,loss,"['current', 'charge', 'init_vol']",../../../models/experiments/loss_params_config/20240509201327/model,../../../models/experiments/loss_params_config/20240509201327/results,3,17.57479182982864,17.024564852396658,18.473605330727466,16.33656426522042,15.339068461144846,14.965680747032172,17.12915520723365,16.108936621549752,../models/experiments/loss_params_config/20240509201327
2,10,0,4,100,2,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.01,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,1,loss_params_config,loss,"['current', 'charge']",../../../models/experiments/loss_params_config/20240509004744/model,../../../models/experiments/loss_params_config/20240509004744/results,2,24.753254321496797,24.61822234598797,15.19072020694997,13.329266738276331,21.84903761584516,19.510069994926457,20.597670714763975,19.152519693063585,../models/experiments/loss_params_config/20240509004744
2,10,0,4,100,1,20,20,tanh,10,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.001,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,4,loss_params_config,loss,"['current', 'charge', 'init_vol']",../../../models/experiments/loss_params_config/20240509180132/model,../../../models/experiments/loss_params_config/20240509180132/results,3,18.35933138194574,17.946025163014742,12.260619669396583,10.722319830617588,2.2156738168847783,1.3575575876235744,10.945208289409033,10.008634193751968,../models/experiments/loss_params_config/20240509180132
2,10,0,4,100,2,20,20,tanh,10,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,1.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,3,loss_params_config,loss,['current'],../../../models/experiments/loss_params_config/20240509144959/model,../../../models/experiments/loss_params_config/20240509144959/results,1,24.15080149755909,23.200010885874445,30.03039987783811,26.784256230631208,25.214172073041087,23.188067958354956,26.465124482812765,24.390778358286866,../models/experiments/loss_params_config/20240509144959
2,10,0,4,100,1,20,20,tanh,10,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,10.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,1,loss_params_config,loss,['current'],../../../models/experiments/loss_params_config/20240509025113/model,../../../models/experiments/loss_params_config/20240509025113/results,1,9.463586796774692,6.149306794484507,16.263470277243577,13.206015273063443,45.611475699539504,42.4210030424595,23.779510924519258,20.59210837000248,../models/experiments/loss_params_config/20240509025113
2,10,0,4,100,2,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.001,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,3,loss_params_config,loss,['current'],../../../models/experiments/loss_params_config/20240509122054/model,../../../models/experiments/loss_params_config/20240509122054/results,1,24.50553241840727,23.406794339497896,28.984775546226413,25.560804947268608,24.2565789615108,23.095069828033452,25.915628975381495,24.020889704933314,../models/experiments/loss_params_config/20240509122054
2,10,0,4,100,1,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.1,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,1,loss_params_config,loss,['current'],../../../models/experiments/loss_params_config/20240509011414/model,../../../models/experiments/loss_params_config/20240509011414/results,1,24.813855159709014,23.83785862731935,30.42250223075349,27.161924318498208,23.71303980287369,21.00563211321831,26.316465731112064,24.001805019678624,../models/experiments/loss_params_config/20240509011414
2,10,0,4,100,2,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,1000.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,3,loss_params_config,loss,"['current', 'charge', 'init_vol']",../../../models/experiments/loss_params_config/20240509175100/model,../../../models/experiments/loss_params_config/20240509175100/results,3,9.994338551689319,9.114431076049817,3.9881725395841743,3.0725095312057,17.786288924678264,16.28702020525933,10.589600005317253,9.491320270838282,../models/experiments/loss_params_config/20240509175100
2,10,0,4,100,2,20,20,tanh,20,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,1.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,3,loss_params_config,loss,"['current', 'charge', 'init_vol', 'ocv']",../../../models/experiments/loss_params_config/20240509145925/model,../../../models/experiments/loss_params_config/20240509145925/results,4,15.564746118301938,15.442560782114677,8.869065531781859,8.105301947439875,14.51402964879468,11.844281761646279,12.982613766292824,11.797381497066944,../models/experiments/loss_params_config/20240509145925
2,10,0,4,100,2,20,20,tanh,20,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,10.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,2,loss_params_config,loss,"['current', 'charge', 'init_vol', 'ocv']",../../../models/experiments/loss_params_config/20240509093811/model,../../../models/experiments/loss_params_config/20240509093811/results,4,11.17703697294286,10.027312061309823,4.597040548559573,3.7251922607422423,11.567207198969813,10.16777461647988,9.113761573490748,7.973426312843981,../models/experiments/loss_params_config/20240509093811
2,10,0,4,100,2,20,20,tanh,20,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.001,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,2,loss_params_config,loss,['current'],../../../models/experiments/loss_params_config/20240509055913/model,../../../models/experiments/loss_params_config/20240509055913/results,1,23.825986984835094,22.85125091679892,29.698540273766834,26.449115140361197,26.97074128857904,25.854664503335957,26.831756182393658,25.05167685349869,../models/experiments/loss_params_config/20240509055913
2,10,0,4,100,2,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.001,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,0,loss_params_config,loss,"['current', 'charge', 'init_vol', 'ocv']",../../../models/experiments/loss_params_config/20240508175056/model,../../../models/experiments/loss_params_config/20240508175056/results,4,11.577790573761135,11.265622168223075,4.633012219474217,3.8527447005241324,11.269215493423795,8.788351886272439,9.16000609555305,7.968906251673215,../models/experiments/loss_params_config/20240508175056
2,10,0,4,100,1,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.1,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,0,loss_params_config,loss,['current'],../../../models/experiments/loss_params_config/20240508190211/model,../../../models/experiments/loss_params_config/20240508190211/results,1,22.749091757320418,21.690327594757093,28.645497425332767,25.377573613197608,25.690297899967813,23.04368060350419,25.694962360873664,23.370527270486296,../models/experiments/loss_params_config/20240508190211
2,10,0,4,100,1,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,1000.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,4,loss_params_config,loss,"['current', 'charge']",../../../models/experiments/loss_params_config/20240509233312/model,../../../models/experiments/loss_params_config/20240509233312/results,2,22.891723013453607,22.63212850697837,13.499984286038838,12.252981095467854,13.092146120252947,9.193394714593884,16.494617806581797,14.692834772346702,../models/experiments/loss_params_config/20240509233312
2,10,0,4,100,1,20,20,tanh,20,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.01,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,2,loss_params_config,loss,"['current', 'charge']",../../../models/experiments/loss_params_config/20240509062955/model,../../../models/experiments/loss_params_config/20240509062955/results,2,22.456504178373393,22.266817202250177,10.19314409195747,9.618022943312127,5.277207225039596,4.918856830596926,12.642285165123488,12.267898992053077,../models/experiments/loss_params_config/20240509062955
2,10,0,4,100,2,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,1.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,3,loss_params_config,loss,"['current', 'charge', 'init_vol', 'ocv']",../../../models/experiments/loss_params_config/20240509151206/model,../../../models/experiments/loss_params_config/20240509151206/results,4,7.682579632012439,6.4870084368388135,4.271972618268628,3.413755964463735,15.828574985132386,14.2719622540474,9.261042411804484,8.057575551783316,../models/experiments/loss_params_config/20240509151206
2,10,0,4,100,2,20,20,tanh,10,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,10.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,3,loss_params_config,loss,"['current', 'charge', 'init_vol', 'ocv']",../../../models/experiments/loss_params_config/20240509154714/model,../../../models/experiments/loss_params_config/20240509154714/results,4,15.453029462740348,14.946934014638279,13.271939729050132,12.125083077953736,15.106226502721482,14.50378498315812,14.61039856483732,13.858600691916712,../models/experiments/loss_params_config/20240509154714
2,10,0,4,100,2,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.001,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,4,loss_params_config,loss,"['current', 'charge', 'init_vol', 'ocv']",../../../models/experiments/loss_params_config/20240509184649/model,../../../models/experiments/loss_params_config/20240509184649/results,4,14.912977073252986,14.75797949345908,7.9471349469849715,7.28301674442907,11.08757077405741,8.53806944966317,11.315894264765122,10.19302189585044,../models/experiments/loss_params_config/20240509184649
